Product Number	Product Name	Product Description
11	16 Inch Builtin Battery Solar Fan Pack	"This CAMP Solar Fan Pack is a great seller in the fan market entry level
The DC System Includes
	20W Solar Panel
	16 Inch Stand Fan with Builtin Battery
	
This pack is very convenient as it has a fan an inbuilt battery making it very portable and possible to charge directly from the fan This fan has a quality finishing and a highly efficient noiseless and brushless motor giving you home and shop an elegant and modern feeling Its 5 speed levels will enable you to adjust to your preferred rate of cooling air in your home or office

This product is PAYG available comes with a warranty and has been tested and certified to IEC TS 6225798 quality standards

Have a look at the datasheet for the detailed product specifications

Product Model HS2006_SPSF_16"
12	18Ah Double Solar Fan Pack	"This CAMP Solar Fan Pack is the most effective for a very hot season
The DC System Includes
	108W Solar Panel
	18Ah Lithium Battery Hub
	16 Inch Stand Fan
	Three LED Bulbs
	Security Light
	Torch

This pack is very convenient as it has a fans with a quality finishing and a highly efficient noiseless and brushless motor giving you home and shop an elegant and modern feeling Its 3 speed levels will enable you to adjust to your preferred rate of cooling air in your home or office The LED bulbs can be used for home and business lighting as they are very bright as they have a unique modern design that shine brightest in the dark and the security light has a motion sensor functionality which can help keep business running even during the night

This product is PAYG available comes with a warranty and has been tested and certified to IEC TS 6225798 quality standards

Have a look at the datasheet for the detailed product specifications

Product Model HS2B230_LB222_SL2_SFSF_EX33_TC33"
13	12Ah Single Solar Fan Pack	"This CAMP Solar Fan Pack is a great seller in the fan lighting pack market entry level
The DC System Includes
	75W Solar Panel
	12Ah Lithium Battery Hub
	16 Inch Stand Fan
	Three LED Bulbs
	Security Light
	Torch

This pack is very convenient as it has a fan with a quality finishing and a highly efficient noiseless and brushless motor giving you home and shop an elegant and modern feeling Its 3 speed levels will enable you to adjust to your preferred rate of cooling air in your home or office The LED bulbs can be used for home and business lighting as they are very bright as they have a unique modern design that shine brightest in the dark and the security light has a motion sensor functionality which can help keep business running even during the night

This product is PAYG available comes with a warranty and has been tested and certified to IEC TS 6225798 quality standards

Have a look at the datasheet for the detailed product specifications

Product Model HS2D144_LB222_SL2_SF_EX3_TC3"
14	18Ah Chicken Farm Lighting Pack	"This CAMP Solar Home Lighting Pack is the most popular and convenient when setting up large business spaces that require continuous exposure to bright light
The 12V DC System Includes
	75W Solar Panel
	18Ah Lithium Battery Hub
	Eight LED Tube Lights
	Torch
 
This pack is very convenient in bringing out the feel of a modern business such as a chicken farm among others as the tube lights have a unique modern design that shine brightest in the dark and a remotecontrol torch that can be used to switch the LED tube lights on and off or change the brightness level modes

This product is PAYG available comes with a warranty and has been tested and certified to IEC TS 6225798 quality standards

Have a look at the datasheet for the detailed product specifications

Product Model HS2230_LT44444444_EX3333_TC3333"
15	12Ah Grocery Lighting  Charging Pack	"This CAMP Solar charging pack is popular for home lighting and charging business
The 12V DC system includes
	75W Solar Panel
	12Ah Lithium Battery Hub
	10Slot Charging Station
	Three LED Bulbs
	One LED Tube Light
	Security Light
	Torch 

This pack is very sufficient as it includes all the basic components needed to set up a phone charging business The 10slot charging station is an economic game changer as people need to constantly charge their phones in to connect with family member keep up with trending news get in touch with clients and elearning purposes among others The tube light and LED bulbs can be used for home and business lighting as they are very bright as they have a unique modern design that shine brightest in the dark 

This product is PAYG available comes with a warranty and has been tested and certified to IEC TS 6225798 quality standards

Have a look at the datasheet for the detailed product specifications

Product Model HS2D144_LB222_SL2_LT4_CSA55_EX333_TC333"
16	12Ah Deluxe Barber  Charging Pack	"This CAMP Solar Home pack is a deluxe solar barber pack for running a small premium barber business
The 12V DC system includes
	50W Solar Panel
	12Ah Lithium Battery Hub
	Two Haircutters
	10Slot Charging Station
	Two LED Tube Lights
	Radio
	Torch 

This pack is the best for establishing a premium feel for a small barber shop as it includes all the basic barber shop components a barber may need The haircutters are cordless and come in packs with accessories such as limit combs cleaning brush and lubricating oil among others while the tube lights are very bright as they have unique modern designs that shine brightest in the dark 

The 10slot charging station can be used as an economical game changer where you get to charge for customers phone charging while cutting their hair The radio also plays an entertainment role in the shop as it has FMAM to broadcast local radio channels has TFUSB functionalities to play MP3 music and loud enough for outdoor use

This product is PAYG available comes with a warranty and has been tested and certified to IEC TS 6225798 quality standards

Have a look at the datasheet for the detailed product specifications

Product Model HS2B144_LT44_RD_CSA55_HC55_EX3_TC3"
17	06Ah Home  Barber Shop Pack	"This CAMP Solar barber pack is popular for home lighting and barber business
The 12V DC system includes
	20W Solar Panel
	6Ah Lithium Battery Hub
	Three LED Bulbs
	One LED Tube Light
	Haircutter
This pack is very sufficient as it includes all the basic haircutting components needed The haircutter is cordless and comes in a box with accessories such as limit combs cleaning brush and lubricating oil among others The tube light and LED bulbs can be used for home lighting as they are very bright as they have a unique modern design that shine brightest in the dark 
This product is PAYG available comes with a warranty and has been tested and certified to IEC TS 6225798 quality standards
Have a look at the datasheet for the detailed product specifications

Product Model HS2A72_LB222_LT4_HC5"
18	06Ah Solar Barber Shop Starter Pack	"This CAMP Solar Home Barber shop pack is the best for beginning a small barber business
The 12V DC system includes
	20W Solar Panel
	6Ah Lithium Battery Hub
	Two LED Tube Light
	Two Haircutters
	Torch 

This pack is very convenient when setting up a small barber shop for the first time as it includes all the basic barber shop components a barber may need The haircutters are cordless and come in packs with accessories such as limit combs cleaning brush and lubricating oil among others while the tube lights are very bright as they have unique modern designs that shine brightest in the dark 
This product is PAYG available comes with a warranty and has been tested and certified to IEC TS 6225798 quality standards
Have a look at the datasheet for the detailed product specifications

Product Model HS272_LT44_HC55"
19	06Ah Solar Home Lighting Pack	"This CAMP Solar Home Lighting Pack is a great seller and the brightest light pack in the market entry level
The 12V DC system includes
	20W Solar Panel
	6Ah Lithium Battery Hub
	Three LED Tube Lights
	One Security Light
	Torch 
	FMAM Radio
	
This pack is very convenient in bringing out the feel of a modern home or business as the tube lights have a unique modern design that shine brightest in the dark and the security light has a motion sensor functionality which can help keep business running even during the night The radio comes as a great companion with MP3 and TF card functionalities and loud enough for outdoor use

This product is PAYG available comes with a warranty and has been tested and certified to IEC TS 6225798 quality standards

Have a look at the datasheet for the detailed product specifications

Product Model HS272_SL2_LT444_RD"
20	LUMN Home 1200lm 40Wh12W	"This LUMN Home Solar Light System is one of the best lighting systems in the small home system category The kit comprises of 

 Three Bright Efficient Tube Lights 400lm 200lm per watt 
 Three Brightness Levels  
 Durable Solar Panel 
 Smartphone Charger Holder 
 Wireless WallMount Light Switch 
 WallMount Battery Hub with Practical Display and Keypad 
 Possibility to Expand the System with Additional Battery Panel Lamps and More 

The Battery Hub offers a wide range of features including MPPT solar charging Bluetooth Low  Energy BLE GATT regulated DC 12V and USB outputs PAYG enable comprehensive protections and GSM as an option An additional battery hub could also be used as an external source of power if needed This product comes with a warranty and has been tested and certified to IEC TS 6225798 quality standards 

Check out the datasheet for the detailed product specifications 

Product Model SHS4012W_T444"
21	LUMN Home 1000lm 40Wh12W	"The LUMN Home Solar Light System is a toptier lighting solution in the small home system category This kit includes

 Three bright efficient tube lights each operating at 400lm 200lm per watt
 Three Bright Efficient Tube Lights 400lm 200lm per watt
 Incorporates a robust and longlasting solar panel
Convenient smartphone charger holder
Wireless wallmount light switch
WallMount Battery Hub with Practical Display and Keypad
Capability to expand and customize by adding additional batteries panels lamps and other components

The lighting system offers three adjustable brightness levels allowing flexible control of illumination A durable solar panel ensures a reliable source of energy in various environmental conditions

A smartphone charging holder utilizes solar energy to charge mobile devices A wireless wallmounted light switch enables remote operation enhancing convenience and flexibility

The system has a wallmounted battery hub that stores solar energy and provides realtime status updates It can customize by adding components for scalability

The Battery Hub offers functionalities such as MPPT solar charging regulated DC 12V and USB outputs PAYG enable and comprehensive protections The system has a warranty and certification to IEC TS 6225798 quality standards Refer to the datasheet for detailed product specifications

Product Model SHS4012W_T4_L222"
22	Solar Light System M630X	" Solar Light System M630X

The LUMN Solar Light System M630 is a highly acclaimed and exceptionally bright solution in the small home system category 

The Kit Comprises Of
	12W Solar Panel
	Three Main LED Lamp All with Builtin Lithium Battery Pack
	A Remote Control Torch

The lamps have three brightness levels and can illuminate up to three rooms simultaneously at night They also serve as versatile tools and even chargers for phones or radios

Its torch can be used as a desk lamp and as a remote control to turn onoff the LED lamps and adjust brightness levels

Moreover this product is backed by a warranty and has been rigorously tested and certified to meet the IEC TS 6225798 quality standards As such customers can trust its performance and reliability For detailed information about the product specifications refer to the datasheet

In summary the LUMN Solar Light System M630 is an excellent choice for those seeking a bright and versatile lighting solution for small homes or other applications Its reliable performance multiple brightness settings and versatility make it stand out in its category And with its warranty and certification to quality standards customers can rest assured that they are getting a highquality product"
23	Solar Light System M630	" Solar Light System M630

The LUMN Solar Light System M630 is a highly acclaimed and exceptionally bright solution in the small home system category 

This kit includes 
 12W solar panel
 Three LED Lamps Each With A Builtin Lithium Battery Pack 

The lamps have three brightness levels and can illuminate up to three rooms simultaneously at night They also serve as versatile tools emergency lights and even chargers for phones or radios

Moreover this product is backed by a warranty and has been rigorously tested and certified to meet the IEC TS 6225798 quality standards As such customers can trust its performance and reliability For detailed information about the product specifications refer to the datasheet

In summary the LUMN Solar Light System M630 is an excellent choice for those seeking a bright and versatile lighting solution for small homes or other applications Its reliable performance multiple brightness settings and versatility make it stand out in its category And with its warranty and certification to quality standards customers can rest assured that they are getting a highquality product"
24	Solar Light System M600X with Radio	" Solar Light System M600X with radio

This LUMN Solar Light System is one of the best lighting systems in the small home system category

The Kit Comprises Of
	12W Solar Panel
	The Main LED Lamp With Builtin Lithium Battery Pack 
	Three Secondary LED Lamps 
	A Remote Control Torch
	An AMFM Radio

Each LED lamp has three brightness levels and together the kit can light up to four rooms simultaneously during the night The main lamp could also be used charging a phone or radio etc

Its torch can be used as a desk lamp and as a remote control to turn onoff the LED lamps and adjust brightness levels

The radio is compatible with FMAMmp3TF card and loud enough to be used outdoor

This product comes with a warranty and has been tested and certified to IEC TS 6225798 quality standards

Check out the datasheet for the detailed product specifications"
25	Solar Light System M600X	" Solar Light System M600X
The LUMN Solar Lights System is a smallscale entrylevel product designed to provide lighting for small homes and other lowpower applications 

The Kit Comprises Of
	12W Solar Panel
	The Main LED Lamp With Builtin Lithium Battery Pack 
	Three Secondary LED Lamps 
	a Remote Control Torch

The primary lamp offers three levels of brightness and it is capable of illuminating a room  Meanwhile the secondary lamps are smaller and offer lower brightness making them suitable for lighting smaller spaces

Its torch can be used as a desk lamp and as a remote control to turn onoff the LED lamps and adjust brightness levels

This solar lights system is capable of providing simultaneous lighting for up to three rooms at night thanks to the inclusion of the primary and secondary lamps Furthermore an emergency light and a power source for charging devices such as phones or radios The lithium battery pack provides up to 57 hours of continuous lighting on a single charge making it ideal for offgrid locations or areas with unreliable power grids

To ensure highquality performance and reliability the LUMN Solar Lights System has been rigorously tested and certified to meet IEC TS 6225798 quality standards Additionally this product comes with a warranty providing peace of mind to customers who may encounter issues with their system

For more detailed specifications and information please refer to the datasheet which includes information on the systems dimensions weight and operating temperature range"
26	Solar Light System M600	" Solar Light System M600

The LUMN Solar Lights System is a smallscale entrylevel product designed to provide lighting for small homes and other lowpower applications 

The Kit Comprises Of
	12W Solar Panel
	The Main LED Lamp With BuiltinLithium Battery Pack 
	Three Secondary LED Lamps

The primary lamp offers three levels of brightness and it is capable of illuminating a room Meanwhile the secondary lamps are smaller and offer lower brightness making them suitable for lighting smaller spaces

This solar lights system is capable of providing simultaneous lighting for up to three rooms at night thanks to the inclusion of the primary and secondary lamps Furthermore a power source for charging devices such as phones or radios The lithium battery pack provides up to 57 hours of continuous lighting on a single charge making it ideal for offgrid locations or areas with unreliable power grids

To ensure highquality performance and reliability the LUMN Solar Lights System has been rigorously tested and certified to meet IEC TS 6225798 quality standards Additionally this product comes with a warranty providing peace of mind to customers who may encounter issues with their system

For more detailed specifications and information please refer to the datasheet which includes information on the systems dimensions weight and operating temperature range"
27	Solar Light System M400X with Radio	" Solar Light System M400X with Radio

The LUMN Solar Lights System is a smallscale entrylevel product designed to provide lighting for small homes and other lowpower applications 

 This system features
 6W solar panel 
 A Primary LED Lamp With a Builtin Lithium Battery Pack
 Two Secondary LED Lamps 
 A Remote Control Torch
 An AMFM Radio

The primary lamp offers three levels of brightness and it is capable of illuminating a room  Meanwhile the secondary lamps are smaller and offer lower brightness making them suitable for lighting smaller spaces

Its torch can be used as a desk lamp and as a remote control to turn onoff the LED lamps and adjust brightness levels

The radio emits a sufficient volume for outdoor usage and supports compatibility with FMAM Mp3 and TF cards

This solar lights system is capable of providing simultaneous lighting for up to three rooms at night thanks to the inclusion of the primary and secondary lamps Furthermore a power source for charging devices such as phones or radios The lithium battery pack provides up to 55 hours of continuous lighting on a single charge making it ideal for offgrid locations or areas with unreliable power grids

To ensure highquality performance and reliability the LUMN Solar Lights System has been rigorously tested and certified to meet IEC TS 6225798 quality standards Additionally this product comes with a warranty providing peace of mind to customers who may encounter issues with their system

For more detailed specifications and information please refer to the datasheet which includes information on the systems dimensions weight and operating temperature range"
28	Solar Light System M400X	" Solar Light System M400X

The LUMN Solar Lights System is a smallscale entrylevel product designed to provide lighting for small homes and other lowpower applications 

 This system features
 6W solar panel 
 A Primary LED Lamp With a Builtin Lithium Battery Pack
 Two Secondary LED Lamps 
 A Remote Control Torch

The primary lamp offers three levels of brightness and it is capable of illuminating a room  Meanwhile the secondary lamps are smaller and offer lower brightness making them suitable for lighting smaller spaces

Its torch can be used as a desk lamp and as a remote control to turn onoff the LED lamps and adjust brightness levels

This solar lights system is capable of providing simultaneous lighting for up to three rooms at night thanks to the inclusion of the primary and secondary lamps Furthermore a power source for charging devices such as phones or radios The lithium battery pack provides up to 55 hours of continuous lighting on a single charge making it ideal for offgrid locations or areas with unreliable power grids

To ensure highquality performance and reliability the LUMN Solar Lights System has been rigorously tested and certified to meet IEC TS 6225798 quality standards Additionally this product comes with a warranty providing peace of mind to customers who may encounter issues with their system

For more detailed specifications and information please refer to the datasheet which includes information on the systems dimensions weight and operating temperature range"
29	Solar Light System M400	" Solar Light System M400

The LUMN Solar Lights System is a smallscale entrylevel product designed to provide lighting for small homes and other lowpower applications 

The Kit Comprises Of
 6W solar panel 
 A Primary LED Lamp With a Builtin Lithium Battery Pack
 Two Secondary LED Lamps 

The primary lamp offers three levels of brightness and it is capable of illuminating a room Meanwhile the secondary lamps are smaller and offer lower brightness making them suitable for lighting smaller spaces

This solar lights system is capable of providing simultaneous lighting for up to three rooms at night thanks to the inclusion of the primary and secondary lamps Furthermore a power source for charging devices such as phones or radios The lithium battery pack provides up to 55 hours of continuous lighting on a single charge making it ideal for offgrid locations or areas with unreliable power grids

To ensure highquality performance and reliability the LUMN Solar Lights System has been rigorously tested and certified to meet IEC TS 6225798 quality standards Additionally this product comes with a warranty providing peace of mind to customers who may encounter issues with their system

For more detailed specifications and information please refer to the datasheet which includes information on the systems dimensions weight and operating temperature range"
30	Solar Light System L300X	" Solar Light System L300X
The LUMN Solar Lights System is a versatile and reliable solarpowered lighting solution suitable for various indoor and outdoor applications

The kit comprises
 4W Solar Panel
 A lantern with a Builtin Lithium Battery Pack
 A Remote Control Torch 

The LED lamp has three brightness levels and can be used as a room lamp campingtent lamp emergency light phone or radio charger and more

The remote control torch can function as a desk lamp and remotely turn onoff the LED lamps and adjust their brightness levels

On full charge the lamp can last for up to 7  84 hours depending on the selected brightness level

This product comes with a warranty and has been tested and certified to IEC TS 6225798 quality standards ensuring its performance and reliability in various environments

For detailed technical specifications and features please refer to the datasheet"
31	Solar Light System L300	" Solar Light System L300

The LUMN Solar Lights System is a powerful and versatile solar lighting solution that comprises of 
 4W solar panel
 A LED lamp with a Builtin Lithium Battery Pack 
 
 The LED lamp offers three brightness levels and can be used for various applications such as a room lamp campingtent lamp emergency light and phone or radio charger

With a full charge the LED lamp can last up to 784 hours depending on the brightness level chosen This product comes with a warranty and has been tested and certified to meet the IEC TS 6225798 quality standards ensuring that it meets high quality and safety requirements

The plugandplay design of the LUMN Solar Lights System makes it easy to use and install providing an ecofriendly and costeffective lighting solution Whether youre looking for a reliable source of light for your outdoor activities or need an emergency backup lighting option this solar lights system is an excellent choice

Check out the datasheet for detailed product specifications including information on the charging time weight and dimensions The LUMN Solar Lights System offers a sustainable and efficient solution for all your lighting needs
This product comes with a warranty and has been tested and certified to IEC TS 6225798 quality standards

Check out the datasheet for the detailed product specifications"
32	Solar Lantern Phone Charger L190	" Solar Lantern Phone Charger L190
  
The LUMN Solar Lantern is an excellent entrylevel solar product designed to meet the lighting needs of various applications 

  24W Solar Panel
 A Lantern Equipped With a Builtin Lithium Battery Pack for Energy Storage 

The solar lantern offers three brightness levels making it versatile and ideal for use as a desk lamp campingtent lamp emergency light phone charger and more

With a full charge the LUMN Solar Lantern can operate for up to 636 hours depending on the selected brightness level This feature ensures longlasting performance and reliable illumination even during extended periods of use The lantern is designed to be energyefficient making it an ecofriendly and costeffective lighting solution

The LUMN Solar Lantern is a highquality product that meets the IEC TS 6225798 quality standard It has been tested and certified to ensure optimal performance and durability making it a reliable lighting solution for various applications The product comes with a warranty providing customers with peace of mind and assurance of its quality

To learn more about the LUMN Solar Lantern please refer to the detailed product specifications available in the datasheet The datasheet provides comprehensive information about the product including technical specifications performance and features It is an essential resource for customers looking to purchase a reliable and highquality solar lantern"
33	AllInOne Inverter Charger 3K48V High Voltage	"The HF series allinone hybrid solar charge inverter has several performance characteristics that make it a reliable and efficient device

 Performance characteristics
 Solar energy storage The device is capable of storing solar energy which can be used to power devices or appliances during periods of low sunlight or at night
 Charging energy storage The inverter can also charge energy storage devices such as batteries quickly and efficiently
 AC sine wave output The inverter produces an AC sine wave output which ensures stable and reliable power supply to connected devices and appliances
 DSP control The use of digital signal processing DSP control ensures high response speed and accuracy of the inverter
 Advanced control algorithms The inverter employs advanced control algorithms which help optimize its performance and efficiency
 High reliability The HF series inverter is designed to meet the highest industry standards for reliability ensuring that it operates efficiently and reliably over a long lifespan

 Main Features
	Full digital voltage and current double closed loop control advanced SPWM technology output of pure sine wave
	Two output modes mains bypass and inverter output uninterrupted power supply
	Available in 4 charging modes Only Solar Mains Priority Solar Priority and Mains amp Solar hybrid charging
	Advanced MPPT technology with an efficiency of 999
	With the charging requirement voltage current mode settings and suitable for various types of energy storage batteries
	ONOFF rocker switch for AC output control
	Power saving mode available to reduce noload loss
	Intelligent variable speed fan to efficiently dissipate heat and extend system life
	Lithium battery activation design allowing access of leadacid battery and lithium battery
	360  allround protection with a number of protection functions Such as overload short circuit and overcurrent
	Supply of a variety of userfriendly communication modules such as R S 485GPRS WiFi Bluetooth CAN US B etc and suitable for computer mobile phones Internet monitoring as well as remote operations

Overall the HF series allinone hybrid solar charge inverter is a versatile efficient and reliable device that offers a range of features and benefits to users"
34	AllInOne Inverter Charger 3K24V	" Performance characteristics

HF series is a new allinone hybrid solar charge inverter which integrates solar energy storage amp means charging energy storage and AC sine wave output
Thanks to DSP control and advanced control algorithms it has high response speed high reliability and meets the highest industry standards

 Main Features
	Full digital voltage and current double closed loop control advanced SPWM technology output of pure sine wave
	Two output modes mains bypass and inverter output uninterrupted power supply
	Available in 4 charging modes Only Solar Mains Priority Solar Priority and Mains amp Solar hybrid charging
	Advanced MPPT technology with an efficiency of 999
	With the charging requirement voltage current mode settings and suitable for various types of energy storage batteries
	ONOFF rocker switch for AC output control
	Power saving mode available to reduce noload loss
	Intelligent variable speed fan to efficiently dissipate heat and extend system life
	Lithium battery activation design allowing access of leadacid battery and lithium battery
	360  allround protection with a number of protection functions Such as overload short circuit and overcurrent
	Supply of a variety of userfriendly communication modules such as R S 485GPRS WiFi Bluetooth CAN US B etc and suitable for computer mobile phones Internet monitoring as well as remote operations"
35	Electric Outboard H6	N/A
